"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"Earth","","World","Count_Person","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",6226487141,"Total Population"
"Earth","","World","Count_Person","2002","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",6308284566,"Total Population"
"Earth","","World","Count_Person","2003","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",6389592840,"Total Population"
"Earth","","World","Count_Person","2004","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",6471033757,"Total Population"
"Earth","","World","Count_Person","2005","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",6552787172,"Total Population"
"Earth","","World","Count_Person","2006","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",6635162568,"Total Population"
"Earth","","World","Count_Person","2007","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",6717583637,"Total Population"
"Earth","","World","Count_Person","2008","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",6801421733,"Total Population"
"Earth","","World","Count_Person","2009","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",6885608628,"Total Population"
"Earth","","World","Count_Person","2010","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",6969894715,"Total Population"
"Earth","","World","Count_Person","2011","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",7053988749,"Total Population"
"Earth","","World","Count_Person","2012","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",7141430933,"Total Population"
"Earth","","World","Count_Person","2013","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",7229458453,"Total Population"
"Earth","","World","Count_Person","2014","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",7317304568,"Total Population"
"Earth","","World","Count_Person","2015","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",7404251118,"Total Population"
"Earth","","World","Count_Person","2016","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",7490956237,"Total Population"
"Earth","","World","Count_Person","2017","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",7577110140,"Total Population"
"Earth","","World","Count_Person","2018","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",7661177849,"Total Population"
"Earth","","World","Count_Person","2019","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",7742724795,"Total Population"
"Earth","","World","Count_Person","2020","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",7821271846,"Total Population"
"Earth","","World","Count_Person","2021","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",7888963821,"Total Population"
"Earth","","World","Count_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",7951595433,"Total Population"
"Earth","","World","Count_Person","2023","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",8024997028,"Total Population"
